Position,Name,ELO,Date,Age
1,Carlsen,2862,2021,30
2,Caruana,2823,2021,28
3,Ding Liren,2791,2021,28
4,Nepomniachtchi,2789,2021,30
5,Vachier-Lagrave,2784,2021,30
6,Aronian,2781,2021,38
7,Grischuk,2777,2021,37
8,Mamedyarov,2770,2021,35
9,So,2770,2021,27
10,Radjabov,2765,2021,33
11,Giri,2764,2021,26
12,Wang Hao,2763,2021,31
13,Rapport,2759,2021,24
14,Dominguez Perez,2758,2021,37
15,Karjakin,2757,2021,30
16,Anand,2753,2021,51
17,Kramnik,2753,2021,45
18,Firouzja,2749,2021,17
19,Duda,2743,2021,22
20,Nakamura,2736,2021,33
1,Carlsen,2872,2020,29
2,Caruana,2822,2020,27
3,Ding Liren,2805,2020,27
4,Grischuk,2777,2020,36
5,Nepomniachtchi,2774,2020,29
6,Aronian,2773,2020,37
7,Vachier-Lagrave,2770,2020,29
8,Mamedyarov,2770,2020,34
9,Giri,2768,2020,25
10,So,2765,2020,26
11,Radjabov,2765,2020,32
12,Wang Hao,2758,2020,30
13,Anand,2758,2020,50
14,Rapport,2758,2020,23
15,Dominguez Perez,2758,2020,36
16,Duda,2758,2020,21
17,Kramnik,2753,2020,44
18,Karjakin,2752,2020,29
19,Vitiugov,2747,2020,32
20,Topalov,2738,2020,44
1,Carlsen,2835,2019,28
2,Caruana,2828,2019,26
3,Mamedyarov,2817,2019,33
4,Ding Liren,2813,2019,26
5,Giri,2783,2019,24
6,Vachier-Lagrave,2780,2019,28
7,Kramnik,2777,2019,43
8,Anand,2773,2019,49
9,Grischuk,2771,2019,35
10,Aronian,2767,2019,36
11,So,2765,2019,25
12,Yu Yangyi,2764,2019,24
13,Nepomniachtchi,2763,2019,28
14,Radjabov,2757,2019,31
15,Karjakin,2753,2019,28
16,Nakamura,2749,2019,31
17,Topalov,2740,2019,43
18,Navara,2738,2019,33
19,Duda,2738,2019,20
20,Svidler,2737,2019,42
1,Carlsen,2834,2018,27
2,Caruana,2811,2018,25
3,Mamedyarov,2804,2018,32
4,Aronian,2797,2018,35
5,Vachier-Lagrave,2793,2018,27
6,So,2792,2018,24
7,Kramnik,2787,2018,42
8,Nakamura,2781,2018,30
9,Ding Liren,2769,2018,25
10,Svidler,2768,2018,41
11,Anand,2767,2018,48
12,Grischuk,2767,2018,34
13,Yu Yangyi,2760,2018,23
14,Karjakin,2753,2018,27
15,Giri,2752,2018,23
16,Nepomniachtchi,2751,2018,27
17,Navara,2749,2018,32
18,Topalov,2749,2018,42
19,Radjabov,2748,2018,30
20,Harikrishna,2745,2018,31
1,Carlsen,2840,2017,26
2,Caruana,2827,2017,24
3,Kramnik,2811,2017,41
4,So,2808,2017,23
